,index,User,Card,Year,Month,Day,Time,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,Errors,Fraud,trans_date_trans_time,Trans_hour,Day_of_week,MCC_Category,Person,Current Age,Retirement Age,Birth Year,Birth Month,Gender,Address,Apartment,City,State,Zipcode,Latitude,Longitude,Per Capita Income - Zipcode,Yearly Income - Person,Total Debt,FICO Score,Num Credit Cards,index,cc_num,val_for_agg,trans_date,hist_trans_60d,hist_trans_24h,hist_fraud_trans_24h,hist_fraud_trans_2h,hist_trans_avg_amt_60d
0,0,0,0,2008,10,1,17:59,7.78,Online Transaction,-5.21142E+17, ONLINE,,,5815,,No,2008/10/1 17:59,17,Wednesday,Miscellaneous Stores,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/1,0,0,0,0,0
1,1,0,0,2008,10,2,5:39,136.34,Swipe Transaction,2.02755E+18,Mira Loma,CA,91752,5541,,No,2008/10/2 5:39,5,Thursday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/2,1,1,0,0,7.78
2,2,0,0,2008,10,2,6:32,51.42,Swipe Transaction,-7.27612E+17,Monterey Park,CA,91754,5411,,No,2008/10/2 6:32,6,Thursday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/2,1,2,0,0,7.78
3,3,0,0,2008,10,2,13:57,51.04,Swipe Transaction,-7.27612E+17,Monterey Park,CA,91754,5411,,No,2008/10/2 13:57,13,Thursday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/2,1,3,0,0,7.78
4,4,0,0,2008,10,4,13:15,10.21,Swipe Transaction,-7.27612E+17,Monterey Park,CA,91754,5411,,No,2008/10/4 13:15,13,Saturday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/4,4,4,0,0,51.358
5,5,0,0,2008,10,4,19:28,11.75,Swipe Transaction,8.08093E+18,Monterey Park,CA,91754,5310,,No,2008/10/4 19:28,19,Saturday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/4,4,1,0,0,51.358
6,6,0,0,2008,10,5,6:38,40.8,Swipe Transaction,-5.47568E+18,Monterey Park,CA,91755,5942,,No,2008/10/5 6:38,6,Sunday,Miscellaneous Stores,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/5,6,2,0,0,44.75666667
7,7,0,0,2008,10,7,6:22,121,Swipe Transaction,-7.27612E+17,Monterey Park,CA,91754,5411,"Insufficient Balance,",No,2008/10/7 6:22,6,Tuesday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/7,7,3,0,0,44.19142857
8,8,0,0,2008,10,10,13:23,9.96,Swipe Transaction,-5.0235E+18,Mira Loma,CA,91752,5812,,No,2008/10/10 13:23,13,Friday,Miscellaneous Stores,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/10,8,1,0,0,53.7925
9,9,0,0,2008,10,12,11:43,30.78,Swipe Transaction,-2.45178E+17,La Verne,CA,91750,5311,,No,2008/10/12 11:43,11,Sunday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/12,9,1,0,0,48.92222222
10,10,0,0,2008,10,13,6:47,36.06,Swipe Transaction,5.81722E+18,La Verne,CA,91750,5912,,No,2008/10/13 6:47,6,Monday,Miscellaneous Stores,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/13,10,1,0,0,37.43230769
11,11,0,0,2008,10,13,13:04,32.48,Swipe Transaction,-1.28808E+18,La Verne,CA,91750,5499,,No,2008/10/13 13:04,13,Monday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/13,10,2,0,0,37.43230769
12,12,0,0,2008,10,13,13:09,-53,Swipe Transaction,-1.28808E+18,La Verne,CA,91750,5499,,No,2008/10/13 13:09,13,Monday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/13,10,2,0,0,37.43230769
13,13,0,0,2008,10,13,13:11,53,Swipe Transaction,-1.28808E+18,La Verne,CA,91750,5499,,No,2008/10/13 13:11,13,Monday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/13,10,3,0,0,37.43230769
14,14,0,0,2008,10,14,6:38,35.94,Swipe Transaction,-5.47568E+18,Monterey Park,CA,91755,5942,,No,2008/10/14 6:38,6,Tuesday,Miscellaneous Stores,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/14,14,4,0,0,38.37066667
15,15,0,0,2008,10,14,7:09,131.61,Swipe Transaction,3.52721E+18,La Verne,CA,91750,5300,,No,2008/10/14 7:09,7,Tuesday,Retail Outlet Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/14,14,5,0,0,38.37066667
16,16,0,0,2008,10,14,13:23,135.18,Swipe Transaction,7.94533E+18,La Verne,CA,91750,4900,,No,2008/10/14 13:23,13,Tuesday,Utility Services,Hazel Robinson,53,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,"$29,278 ","$59,696 ","$127,613 ",787,5,0,0_0,1,2008/10/14,14,5,0,0,38.37066667
